KEY_benef_loc,match_score,KEY_inegi_localidad
teloloapan-chapa,100,teloloapan-chapa
san miguel totolapan-san nicolas del oro,100,san miguel totolapan-san nicolas del oro
benito juarez-arenal de alvarez (arenal de paco),100,benito juarez-arenal de alvarez (arenal de paco)
tlalchapa-tlalchapa,100,tlalchapa-tlalchapa
san miguel totolapan-la hacienda de las palmas,100,san miguel totolapan-la hacienda de las palmas
teloloapan-plan del sabino,100,teloloapan-plan del sabino
ayutla de los libres-el sauce,100,ayutla de los libres-el sauce
teloloapan-acatempan,100,teloloapan-acatempan
martir de cuilapan-tula del rio,100,martir de cuilapan-tula del rio
acapulco de juarez-amatepec,100,acapulco de juarez-amatepec
chilpancingo de los bravo-santa barbara,100,chilpancingo de los bravo-santa barbara
san luis acatlan-miahuichan,100,san luis acatlan-miahuichan
eduardo neri-huitziltepec,100,eduardo neri-huitziltepec
arcelia-la concordia,100,arcelia-la concordia
copanatoyac-ocotequila,100,copanatoyac-ocotequila
chilapa de alvarez-ahuexotitlan,100,chilapa de alvarez-ahuexotitlan
taxco de alarcon-las joyas,100,taxco de alarcon-las joyas
eduardo neri-el miraval,100,eduardo neri-el miraval
tlapa de comonfort-xocotepec (san marcos del rancho),100,tlapa de comonfort-xocotepec (san marcos del rancho)
ahuacuotzingo-ahuacuotzingo,100,ahuacuotzingo-ahuacuotzingo
cuetzala del progreso-cuaxilotla,100,cuetzala del progreso-cuaxilotla
huitzuco de los figueroa-ciudad de huitzuco,100,huitzuco de los figueroa-ciudad de huitzuco
arcelia-nuevo leon,100,arcelia-nuevo leon
azoyu-la pelota,100,azoyu-la pelota
quechultenango-jalapa,100,quechultenango-jalapa
zapotitlan tablas-san miguel cuixapa centro,100,zapotitlan tablas-san miguel cuixapa centro
ajuchitlan del progreso-las juntas de la esperanza,100,ajuchitlan del progreso-las juntas de la esperanza
acapulco de juarez-ejido nuevo,100,acapulco de juarez-ejido nuevo
xalpatlahuac-xilotepec (jilotepec chiquito),100,xalpatlahuac-xilotepec (jilotepec chiquito)
coahuayutla de jose maria izazaga-el maguey,100,coahuayutla de jose maria izazaga-el maguey
quechultenango-san jose,100,quechultenango-san jose
tecoanapa-el amatal,100,tecoanapa-el amatal
cutzamala de pinzon-balderrama (orilla de balderrama),100,cutzamala de pinzon-balderrama (orilla de balderrama)
juan r. escudero-san juan del reparo norte (san juan del reparo),100,juan r. escudero-san juan del reparo norte (san juan del reparo)
tecpan de galeana-zacate de castilla uno,100,tecpan de galeana-zacate de castilla uno
quechultenango-santa fe,100,quechultenango-santa fe
tlalchapa-villa madero (el potrero),100,tlalchapa-villa madero (el potrero)
general heliodoro castillo-nuevo poblado el caracol,100,general heliodoro castillo-nuevo poblado el caracol
teloloapan-cuadrilla del encanto (cerro del barro),86,acapulco de juarez-cerro pelon
arcelia-copaltepec,100,arcelia-copaltepec
zihuatanejo de azueta-colonia vista mar,100,zihuatanejo de azueta-colonia vista mar
tixtla de guerrero-atliaca,100,tixtla de guerrero-atliaca
teloloapan-tlacuitlapa,100,teloloapan-tlacuitlapa
tecpan de galeana-el suchil,100,tecpan de galeana-el suchil
quechultenango-llano grande,100,quechultenango-llano grande
quechultenango-nanzintla,100,quechultenango-nanzintla
tecoanapa-el zanate,100,tecoanapa-el zanate
zitlala-pochahuizco,100,zitlala-pochahuizco
ajuchitlan del progreso-la desdicha,100,ajuchitlan del progreso-la desdicha
tecoanapa-el potrero,100,tecoanapa-el potrero
tecoanapa-las animas,100,tecoanapa-las animas
teloloapan-san antonio acachautla,100,teloloapan-san antonio acachautla
teloloapan-el verdecillo,100,teloloapan-el verdecillo
san miguel totolapan-linda vista,100,san miguel totolapan-linda vista
tecoanapa-cruz quemada,100,tecoanapa-cruz quemada
zapotitlan tablas-el sombrerito,100,zapotitlan tablas-el sombrerito
la union de isidoro montes de oca-surcua,100,la union de isidoro montes de oca-surcua
san miguel totolapan-los guajes,100,san miguel totolapan-los guajes
teloloapan-apatzingan,100,teloloapan-apatzingan
benito juarez-el cerrito (el cerrito de garibo),100,benito juarez-el cerrito (el cerrito de garibo)
teloloapan-los espinos,100,teloloapan-los espinos
teloloapan-acachautla,100,teloloapan-acachautla
teloloapan-coatepec costales,100,teloloapan-coatepec costales
teloloapan-alahuixtlan,100,teloloapan-alahuixtlan
zapotitlan tablas-zapotitlan tablas,100,zapotitlan tablas-zapotitlan tablas
quechultenango-tepoxtlahuaca,100,quechultenango-tepoxtlahuaca
la union de isidoro montes de oca-lagunillas,100,la union de isidoro montes de oca-lagunillas
zapotitlan tablas-ayotoxtla,100,zapotitlan tablas-ayotoxtla
tecoanapa-tlayoyotepec,100,tecoanapa-tlayoyotepec
metlatonoc-lagunilla yucutuni,100,metlatonoc-lagunilla yucutuni
tlacoachistlahuaca-rancho cuananchinicha,100,tlacoachistlahuaca-rancho cuananchinicha
san luis acatlan-mixtecapa,100,san luis acatlan-mixtecapa
acapulco de juarez-venta vieja,100,acapulco de juarez-venta vieja
olinala-san antonio coyahuacan,100,olinala-san antonio coyahuacan
malinaltepec-cuatzoquitengo,100,malinaltepec-cuatzoquitengo
tepecoacuilco de trujano-san agustin oapan,100,tepecoacuilco de trujano-san agustin oapan
olinala-temalacatzingo,100,olinala-temalacatzingo
ahuacuotzingo-tepoxtlan,100,ahuacuotzingo-tepoxtlan
petatlan-la cienega de lopez,100,petatlan-la cienega de lopez
zirandaro-parota del cuartel,95,zirandaro-la parota del cuartel
pungarabato-ciudad altamirano,100,pungarabato-ciudad altamirano
eduardo neri-ahuelican,100,eduardo neri-ahuelican
pedro ascencio alquisiras-ixcapuzalco,100,pedro ascencio alquisiras-ixcapuzalco
tlalixtaquilla de maldonado-ahuacatitlan (aguacatitlan),100,tlalixtaquilla de maldonado-ahuacatitlan (aguacatitlan)
ahuacuotzingo-pochutla,100,ahuacuotzingo-pochutla
jose joaquin de herrera-tlachimaltepec,100,jose joaquin de herrera-tlachimaltepec
ometepec-arroyo chachalaco,100,ometepec-arroyo chachalaco
tlapa de comonfort-chiepetepec,100,tlapa de comonfort-chiepetepec
cuajinicuilapa-montecillos,100,cuajinicuilapa-montecillos
tlapa de comonfort-tototepec (yozononi),100,tlapa de comonfort-tototepec (yozononi)
xochistlahuaca-el santiago,100,xochistlahuaca-el santiago
ayutla de los libres-la haciendita,100,ayutla de los libres-la haciendita
quechultenango-zalpizaco,100,quechultenango-zalpizaco
coahuayutla de jose maria izazaga-el zopilote,100,coahuayutla de jose maria izazaga-el zopilote
tecoanapa-ochoapa,100,tecoanapa-ochoapa
martir de cuilapan-ahuetlixpa,100,martir de cuilapan-ahuetlixpa
teloloapan-el sabinito,100,teloloapan-el sabinito
tecoanapa-parotilla,100,tecoanapa-parotilla
tecoanapa-el pericon,100,tecoanapa-el pericon
zihuatanejo de azueta-barbulillas,100,zihuatanejo de azueta-barbulillas
san miguel totolapan-cienega de puerto alegre,100,san miguel totolapan-cienega de puerto alegre
la union de isidoro montes de oca-junta de los rios (las juntas),100,la union de isidoro montes de oca-junta de los rios (las juntas)
atlamajalcingo del monte-atlamajalcingo del monte,100,atlamajalcingo del monte-atlamajalcingo del monte
san miguel totolapan-las tunas,100,san miguel totolapan-las tunas
san miguel totolapan-el barroso,100,san miguel totolapan-el barroso
san marcos-el cortes,100,san marcos-el cortes
zihuatanejo de azueta-el higo,100,zihuatanejo de azueta-el higo
xalpatlahuac-tlaxco,100,xalpatlahuac-tlaxco
acatepec-laguna seca,100,acatepec-laguna seca
general heliodoro castillo-la reforma,100,general heliodoro castillo-la reforma
coyuca de catalan-cruz agua fria (la cruz),100,coyuca de catalan-cruz agua fria (la cruz)
