KEY_benef_mun,best_match,match_score,CVE_ENT,Entidad_inegi,CVE_MUN,Municipio_inegi,KEY_inegi_municipio
puebla-acajete,puebla-acajete,100,21,Puebla,1,Acajete,puebla-acajete
morelos-axochiapan,morelos-axochiapan,100,17,Morelos,3,Axochiapan,morelos-axochiapan
guerrero-tetipac,guerrero-tetipac,100,12,Guerrero,60,Tetipac,guerrero-tetipac
tlaxcala-sanctorum de lazaro cardenas,tlaxcala-sanctorum de lazaro cardenas,100,29,Tlaxcala,20,Sanctórum de Lázaro Cárdenas,tlaxcala-sanctorum de lazaro cardenas
tlaxcala-tocatlan,tlaxcala-tocatlan,100,29,Tlaxcala,35,Tocatlán,tlaxcala-tocatlan
tlaxcala-apetatitlan de antonio carvajal,tlaxcala-apetatitlan de antonio carvajal,100,29,Tlaxcala,2,Apetatitlán de Antonio Carvajal,tlaxcala-apetatitlan de antonio carvajal
tlaxcala-tzompantepec,tlaxcala-tzompantepec,100,29,Tlaxcala,38,Tzompantepec,tlaxcala-tzompantepec
morelos-coatlan del rio,morelos-coatlan del rio,100,17,Morelos,5,Coatlán del Río,morelos-coatlan del rio
puebla-chilchotla,puebla-chilchotla,100,21,Puebla,58,Chilchotla,puebla-chilchotla
puebla-guadalupe victoria,puebla-guadalupe victoria,100,21,Puebla,67,Guadalupe Victoria,puebla-guadalupe victoria
tlaxcala-nanacamilpa de mariano arista,tlaxcala-nanacamilpa de mariano arista,100,29,Tlaxcala,21,Nanacamilpa de Mariano Arista,tlaxcala-nanacamilpa de mariano arista
puebla-san matias tlalancaleca,puebla-san matias tlalancaleca,100,21,Puebla,134,San Matías Tlalancaleca,puebla-san matias tlalancaleca
tlaxcala-benito juarez,tlaxcala-benito juarez,100,29,Tlaxcala,45,Benito Juárez,tlaxcala-benito juarez
tlaxcala-apizaco,tlaxcala-apizaco,100,29,Tlaxcala,5,Apizaco,tlaxcala-apizaco
tlaxcala-tetla de la solidaridad,tlaxcala-tetla de la solidaridad,100,29,Tlaxcala,31,Tetla de la Solidaridad,tlaxcala-tetla de la solidaridad
morelos-amacuzac,morelos-amacuzac,100,17,Morelos,1,Amacuzac,morelos-amacuzac
morelos-mazatepec,morelos-mazatepec,100,17,Morelos,14,Mazatepec,morelos-mazatepec
puebla-lafragua,puebla-lafragua,100,21,Puebla,93,Lafragua,puebla-lafragua
morelos-huitzilac,morelos-huitzilac,100,17,Morelos,9,Huitzilac,morelos-huitzilac
puebla-tlaltenango,puebla-tlaltenango,100,21,Puebla,181,Tlaltenango,puebla-tlaltenango
puebla-tecamachalco,puebla-tecamachalco,100,21,Puebla,154,Tecamachalco,puebla-tecamachalco
morelos-tlaltizapan de zapata,morelos-tlaltizapan de zapata,100,17,Morelos,24,Tlaltizapán de Zapata,morelos-tlaltizapan de zapata
tlaxcala-xaloztoc,tlaxcala-xaloztoc,100,29,Tlaxcala,39,Xaloztoc,tlaxcala-xaloztoc
tlaxcala-cuapiaxtla,tlaxcala-cuapiaxtla,100,29,Tlaxcala,8,Cuapiaxtla,tlaxcala-cuapiaxtla
tlaxcala-atltzayanca,tlaxcala-atltzayanca,100,29,Tlaxcala,4,Atltzayanca,tlaxcala-atltzayanca
puebla-cuyoaco,puebla-cuyoaco,100,21,Puebla,44,Cuyoaco,puebla-cuyoaco
puebla-libres,puebla-libres,100,21,Puebla,94,Libres,puebla-libres
tlaxcala-tepeyanco,tlaxcala-tepeyanco,100,29,Tlaxcala,29,Tepeyanco,tlaxcala-tepeyanco
tlaxcala-ziltlaltepec de trinidad sanchez santos,tlaxcala-ziltlaltepec de trinidad sanchez santos,100,29,Tlaxcala,37,Ziltlaltépec de Trinidad Sánchez Santos,tlaxcala-ziltlaltepec de trinidad sanchez santos
tlaxcala-panotla,tlaxcala-panotla,100,29,Tlaxcala,24,Panotla,tlaxcala-panotla
tlaxcala-teolocholco,tlaxcala-teolocholco,100,29,Tlaxcala,28,Teolocholco,tlaxcala-teolocholco
tlaxcala-acuamanala de miguel hidalgo,tlaxcala-acuamanala de miguel hidalgo,100,29,Tlaxcala,22,Acuamanala de Miguel Hidalgo,tlaxcala-acuamanala de miguel hidalgo
tlaxcala-san jeronimo zacualpan,tlaxcala-san jeronimo zacualpan,100,29,Tlaxcala,51,San Jerónimo Zacualpan,tlaxcala-san jeronimo zacualpan
tlaxcala-hueyotlipan,tlaxcala-hueyotlipan,100,29,Tlaxcala,14,Hueyotlipan,tlaxcala-hueyotlipan
tlaxcala-tetlatlahuca,tlaxcala-tetlatlahuca,100,29,Tlaxcala,32,Tetlatlahuca,tlaxcala-tetlatlahuca
tlaxcala-ixtenco,tlaxcala-ixtenco,100,29,Tlaxcala,16,Ixtenco,tlaxcala-ixtenco
guerrero-metlatonoc,guerrero-metlatonoc,100,12,Guerrero,43,Metlatónoc,guerrero-metlatonoc
puebla-tzicatlacoyan,puebla-tzicatlacoyan,100,21,Puebla,193,Tzicatlacoyan,puebla-tzicatlacoyan
puebla-tecali de herrera,puebla-tecali de herrera,100,21,Puebla,153,Tecali de Herrera,puebla-tecali de herrera
tlaxcala-tepetitla de lardizabal,tlaxcala-tepetitla de lardizabal,100,29,Tlaxcala,19,Tepetitla de Lardizábal,tlaxcala-tepetitla de lardizabal
guerrero-xochihuehuetlan,guerrero-xochihuehuetlan,100,12,Guerrero,70,Xochihuehuetlán,guerrero-xochihuehuetlan
puebla-san martin texmelucan,puebla-san martin texmelucan,100,21,Puebla,132,San Martín Texmelucan,puebla-san martin texmelucan
puebla-zautla,puebla-zautla,100,21,Puebla,212,Zautla,puebla-zautla
morelos-ocuituco,morelos-ocuituco,100,17,Morelos,16,Ocuituco,morelos-ocuituco
tlaxcala-tlaxco,tlaxcala-tlaxco,100,29,Tlaxcala,34,Tlaxco,tlaxcala-tlaxco
guerrero-cochoapa el grande,guerrero-cochoapa el grande,100,12,Guerrero,78,Cochoapa el Grande,guerrero-cochoapa el grande
tlaxcala-calpulalpan,tlaxcala-calpulalpan,100,29,Tlaxcala,6,Calpulalpan,tlaxcala-calpulalpan
tlaxcala-san jose teacalco,tlaxcala-san jose teacalco,100,29,Tlaxcala,52,San José Teacalco,tlaxcala-san jose teacalco
tlaxcala-ixtacuixtla de mariano matamoros,tlaxcala-ixtacuixtla de mariano matamoros,100,29,Tlaxcala,15,Ixtacuixtla de Mariano Matamoros,tlaxcala-ixtacuixtla de mariano matamoros
morelos-yautepec,morelos-yautepec,100,17,Morelos,29,Yautepec,morelos-yautepec
puebla-chiautzingo,puebla-chiautzingo,100,21,Puebla,48,Chiautzingo,puebla-chiautzingo
puebla-ocotepec,puebla-ocotepec,100,21,Puebla,105,Ocotepec,puebla-ocotepec
puebla-domingo arenas,puebla-domingo arenas,100,21,Puebla,60,Domingo Arenas,puebla-domingo arenas
guerrero-atlamajalcingo del monte,guerrero-atlamajalcingo del monte,100,12,Guerrero,9,Atlamajalcingo del Monte,guerrero-atlamajalcingo del monte
puebla-tlacotepec de benito juarez,puebla-tlacotepec de benito juarez,100,21,Puebla,177,Tlacotepec de Benito Juárez,puebla-tlacotepec de benito juarez
puebla-chichiquila,puebla-chichiquila,100,21,Puebla,50,Chichiquila,puebla-chichiquila
puebla-rafael lara grajales,puebla-rafael lara grajales,100,21,Puebla,117,Rafael Lara Grajales,puebla-rafael lara grajales
puebla-cuapiaxtla de madero,puebla-cuapiaxtla de madero,100,21,Puebla,38,Cuapiaxtla de Madero,puebla-cuapiaxtla de madero
puebla-huejotzingo,puebla-huejotzingo,100,21,Puebla,74,Huejotzingo,puebla-huejotzingo
puebla-quimixtlan,puebla-quimixtlan,100,21,Puebla,116,Quimixtlán,puebla-quimixtlan
puebla-amozoc,puebla-amozoc,100,21,Puebla,15,Amozoc,puebla-amozoc
morelos-tetela del volcan,morelos-tetela del volcan,100,17,Morelos,22,Tetela del Volcán,morelos-tetela del volcan
morelos-yecapixtla,morelos-yecapixtla,100,17,Morelos,30,Yecapixtla,morelos-yecapixtla
puebla-tepatlaxco de hidalgo,puebla-tepatlaxco de hidalgo,100,21,Puebla,163,Tepatlaxco de Hidalgo,puebla-tepatlaxco de hidalgo
morelos-cuernavaca,morelos-cuernavaca,100,17,Morelos,7,Cuernavaca,morelos-cuernavaca
tlaxcala-terrenate,tlaxcala-terrenate,100,29,Tlaxcala,30,Terrenate,tlaxcala-terrenate
morelos-xochitepec,morelos-xochitepec,100,17,Morelos,28,Xochitepec,morelos-xochitepec
puebla-yehualtepec,puebla-yehualtepec,100,21,Puebla,205,Yehualtepec,puebla-yehualtepec
puebla-san nicolas buenos aires,puebla-san nicolas buenos aires,100,21,Puebla,137,San Nicolás Buenos Aires,puebla-san nicolas buenos aires
morelos-coatetelco,morelos-coatetelco,100,17,Morelos,34,Coatetelco,morelos-coatetelco
puebla-san salvador el verde,puebla-san salvador el verde,100,21,Puebla,143,San Salvador el Verde,puebla-san salvador el verde
puebla-calpan,puebla-calpan,100,21,Puebla,26,Calpan,puebla-calpan
morelos-tlayacapan,morelos-tlayacapan,100,17,Morelos,26,Tlayacapan,morelos-tlayacapan
tlaxcala-santa cruz tlaxcala,tlaxcala-santa cruz tlaxcala,100,29,Tlaxcala,26,Santa Cruz Tlaxcala,tlaxcala-santa cruz tlaxcala
puebla-tepeyahualco,puebla-tepeyahualco,100,21,Puebla,170,Tepeyahualco,puebla-tepeyahualco
morelos-tepoztlan,morelos-tepoztlan,100,17,Morelos,20,Tepoztlán,morelos-tepoztlan
tlaxcala-xicohtzinco,tlaxcala-xicohtzinco,100,29,Tlaxcala,42,Xicohtzinco,tlaxcala-xicohtzinco
puebla-coronango,puebla-coronango,100,21,Puebla,34,Coronango,puebla-coronango
puebla-san jose miahuatlan,puebla-san jose miahuatlan,100,21,Puebla,129,San José Miahuatlán,puebla-san jose miahuatlan
tlaxcala-chiautempan,tlaxcala-chiautempan,100,29,Tlaxcala,10,Chiautempan,tlaxcala-chiautempan
