KEY_benef_loc,match_score,KEY_inegi_localidad
acatepec-escalerilla zapata,100,acatepec-escalerilla zapata
acatepec-caxitepec,100,acatepec-caxitepec
acatepec-acatepec,100,acatepec-acatepec
acatepec-agua tordillo,100,acatepec-agua tordillo
acatepec-laguna seca,100,acatepec-laguna seca
acatepec-barrio nuevo-loma macho,100,acatepec-barrio nuevo-loma macho
acatepec-barranca pina,100,acatepec-barranca pina
san luis acatlan-san luis acatlan,100,san luis acatlan-san luis acatlan
tepecoacuilco de trujano-tepecoacuilco de trujano,100,tepecoacuilco de trujano-tepecoacuilco de trujano
copanatoyac-copanatoyac,100,copanatoyac-copanatoyac
san luis acatlan-arroyo faisan,100,san luis acatlan-arroyo faisan
metlatonoc-llano de nopal,100,metlatonoc-llano de nopal
metlatonoc-metlatonoc,100,metlatonoc-metlatonoc
petatlan-petatlan,100,petatlan-petatlan
chilapa de alvarez-chilapa de alvarez,100,chilapa de alvarez-chilapa de alvarez
metlatonoc-zitlaltepec,100,metlatonoc-zitlaltepec
tetipac-tetipac,100,tetipac-tetipac
san luis acatlan-pueblo hidalgo,100,san luis acatlan-pueblo hidalgo
jose joaquin de herrera-hueycantenango,100,jose joaquin de herrera-hueycantenango
taxco de alarcon-taxco de alarcon,100,taxco de alarcon-taxco de alarcon
quechultenango-xochitepec,100,quechultenango-xochitepec
tixtla de guerrero-almolonga,100,tixtla de guerrero-almolonga
cualac-cualac,100,cualac-cualac
general heliodoro castillo-ixtayotla,100,general heliodoro castillo-ixtayotla
ometepec-zacoalpan,100,ometepec-zacoalpan
quechultenango-loma larga,100,quechultenango-loma larga
quechultenango-tolixtlahuaca,100,quechultenango-tolixtlahuaca
san luis acatlan-el meson,100,san luis acatlan-el meson
tlapa de comonfort-tlapa de comonfort,100,tlapa de comonfort-tlapa de comonfort
pedro ascencio alquisiras-la camila (puente de dios),100,pedro ascencio alquisiras-la camila (puente de dios)
san luis acatlan-cuanacaxtitlan,100,san luis acatlan-cuanacaxtitlan
san marcos-las lomitas de nexpa (las lomitas),95,san marcos-las lomitas de nexpa
san marcos-piedra blanca,100,san marcos-piedra blanca
tecoanapa-ocotitlan,100,tecoanapa-ocotitlan
tlalchapa-tlalchapa,100,tlalchapa-tlalchapa
pilcaya-pilcaya,100,pilcaya-pilcaya
apaxtla-ciudad apaxtla de castrejon,100,apaxtla-ciudad apaxtla de castrejon
tecoanapa-la lagunita (los manantiales),100,tecoanapa-la lagunita (los manantiales)
acapulco de juarez-acapulco de juarez,100,acapulco de juarez-acapulco de juarez
teloloapan-teloloapan,100,teloloapan-teloloapan
san luis acatlan-el carmen,100,san luis acatlan-el carmen
quechultenango-teozintla,100,quechultenango-teozintla
ahuacuotzingo-zompazolco,100,ahuacuotzingo-zompazolco
chilapa de alvarez-xiloxuchican,100,chilapa de alvarez-xiloxuchican
copalillo-copalillo,100,copalillo-copalillo
ahuacuotzingo-mitlancingo,100,ahuacuotzingo-mitlancingo
quechultenango-atlitengo,100,quechultenango-atlitengo
ayutla de los libres-ayutla de los libres,100,ayutla de los libres-ayutla de los libres
acapulco de juarez-las joyas,100,acapulco de juarez-las joyas
atlamajalcingo del monte-atlamajalcingo del monte,100,atlamajalcingo del monte-atlamajalcingo del monte
eduardo neri-ahuelican,100,eduardo neri-ahuelican
tlapa de comonfort-coachimalco,100,tlapa de comonfort-coachimalco
san marcos-el carrizo,100,san marcos-el carrizo
copala-copala,100,copala-copala
xochistlahuaca-rancho del cura tejeria,100,xochistlahuaca-rancho del cura tejeria
tlacoapa-tlacoapa,100,tlacoapa-tlacoapa
ahuacuotzingo-la tabernita,100,ahuacuotzingo-la tabernita
xochistlahuaca-arroyo guacamaya ii,100,xochistlahuaca-arroyo guacamaya ii
leonardo bravo-chichihualco,100,leonardo bravo-chichihualco
acapulco de juarez-el canton,100,acapulco de juarez-el canton
ometepec-cumbre de barranca honda,100,ometepec-cumbre de barranca honda
ometepec-rancho angel manuel estrada trani,100,ometepec-rancho angel manuel estrada trani
acapulco de juarez-san jose,100,acapulco de juarez-san jose
chilapa de alvarez-zompeltepec,100,chilapa de alvarez-zompeltepec
coyuca de benitez-tepetixtla,100,coyuca de benitez-tepetixtla
cuetzala del progreso-apetlanca,100,cuetzala del progreso-apetlanca
eduardo neri-zumpango del rio,100,eduardo neri-zumpango del rio
general canuto a. neri-acapetlahuaya,100,general canuto a. neri-acapetlahuaya
quechultenango-ostocapa,100,quechultenango-ostocapa
san luis acatlan-tlaxcalixtlahuaca,100,san luis acatlan-tlaxcalixtlahuaca
zapotitlan tablas-tamaloya,100,zapotitlan tablas-tamaloya
chilapa de alvarez-zelocotitlan,100,chilapa de alvarez-zelocotitlan
mochitlan-coaxtlahuacan,100,mochitlan-coaxtlahuacan
tecoanapa-san juan las palmas,100,tecoanapa-san juan las palmas
coahuayutla de jose maria izazaga-coahuayutla de guerrero,100,coahuayutla de jose maria izazaga-coahuayutla de guerrero
ometepec-ometepec,100,ometepec-ometepec
chilapa de alvarez-san angel,100,chilapa de alvarez-san angel
cuautepec-el libano,100,cuautepec-el libano
san luis acatlan-horcasitas (atotonilco de horcasitas),100,san luis acatlan-horcasitas (atotonilco de horcasitas)
zirandaro-zirandaro de los chavez,100,zirandaro-zirandaro de los chavez
cualac-chiaucingo (chapancingo),100,cualac-chiaucingo (chapancingo)
tetipac-atencahuites,100,tetipac-atencahuites
tlapa de comonfort-agua dulce,100,tlapa de comonfort-agua dulce
tlapehuala-tlapehuala,100,tlapehuala-tlapehuala
copanatoyac-el crucero de oztocingo,100,copanatoyac-el crucero de oztocingo
olinala-iyocingo (ventanas iyocingo),100,olinala-iyocingo (ventanas iyocingo)
olinala-temalacatzingo,100,olinala-temalacatzingo
pedro ascencio alquisiras-ixcapaneca,100,pedro ascencio alquisiras-ixcapaneca
olinala-olinala,100,olinala-olinala
tixtla de guerrero-omeapa,100,tixtla de guerrero-omeapa
tixtla de guerrero-tixtla de guerrero,100,tixtla de guerrero-tixtla de guerrero
ahuacuotzingo-ahuacuotzingo,100,ahuacuotzingo-ahuacuotzingo
malinaltepec-alchipahuac,95,malinaltepec-malinaltepec
huamuxtitlan-huamuxtitlan,100,huamuxtitlan-huamuxtitlan
ixcateopan de cuauhtemoc-ixcateopan de cuauhtemoc,100,ixcateopan de cuauhtemoc-ixcateopan de cuauhtemoc
cocula-cocula,100,cocula-cocula
quechultenango-nacaxtlan,100,quechultenango-nacaxtlan
chilapa de alvarez-acalco,100,chilapa de alvarez-acalco
taxco de alarcon-san miguel guerrero (san miguel),100,taxco de alarcon-san miguel guerrero (san miguel)
chilapa de alvarez-atzacoaloya,100,chilapa de alvarez-atzacoaloya
xochihuehuetlan-xochihuehuetlan,100,xochihuehuetlan-xochihuehuetlan
san luis acatlan-el llanito,100,san luis acatlan-el llanito
san luis acatlan-llano silleta,100,san luis acatlan-llano silleta
tlacoachistlahuaca-tlacoachistlahuaca,100,tlacoachistlahuaca-tlacoachistlahuaca
zihuatanejo de azueta-la laja (buenavista),100,zihuatanejo de azueta-la laja (buenavista)
pedro ascencio alquisiras-ixcapuzalco,100,pedro ascencio alquisiras-ixcapuzalco
ahuacuotzingo-tecoanapa,100,ahuacuotzingo-tecoanapa
tlapa de comonfort-xalatzala,100,tlapa de comonfort-xalatzala
tlalchapa-cuauhlotitlan,100,tlalchapa-cuauhlotitlan
ahuacuotzingo-tlaquilcingo,100,ahuacuotzingo-tlaquilcingo
pedro ascencio alquisiras-otates,100,pedro ascencio alquisiras-otates
san luis acatlan-yoloxochitl,100,san luis acatlan-yoloxochitl
tlalchapa-san miguel tecomatlan,100,tlalchapa-san miguel tecomatlan
xochistlahuaca-cumbre de san jose,100,xochistlahuaca-cumbre de san jose
chilapa de alvarez-el jaguey,100,chilapa de alvarez-el jaguey
chilpancingo de los bravo-chilpancingo de los bravo,100,chilpancingo de los bravo-chilpancingo de los bravo
cuetzala del progreso-cuetzala del progreso,100,cuetzala del progreso-cuetzala del progreso
petatlan-la lajita,100,petatlan-la lajita
malinaltepec-ojo de agua de cuauhtemoc,100,malinaltepec-ojo de agua de cuauhtemoc
marquelia-marquelia,100,marquelia-marquelia
chilapa de alvarez-calhuaxtitlan,100,chilapa de alvarez-calhuaxtitlan
general canuto a. neri-ocotepec,100,general canuto a. neri-ocotepec
teloloapan-miahuatepec,100,teloloapan-miahuatepec
tlapa de comonfort-tototepec (yozononi),100,tlapa de comonfort-tototepec (yozononi)
quechultenango-quechultenango,100,quechultenango-quechultenango
chilapa de alvarez-trigomila,100,chilapa de alvarez-trigomila
metlatonoc-colonia de guadalupe,100,metlatonoc-colonia de guadalupe
san luis acatlan-hondura tigre,100,san luis acatlan-hondura tigre
zapotitlan tablas-zapotitlan tablas,100,zapotitlan tablas-zapotitlan tablas
teloloapan-ozolotepec,100,teloloapan-ozolotepec
tlacoachistlahuaca-rancho plan de cocoyul,95,tlacoachistlahuaca-tlacoachistlahuaca
san luis acatlan-camalotillo (el camalotillo),100,san luis acatlan-camalotillo (el camalotillo)
atlixtac-colotla,100,atlixtac-colotla
huitzuco de los figueroa-xoyacuautla,100,huitzuco de los figueroa-xoyacuautla
chilapa de alvarez-ayahualulco,100,chilapa de alvarez-ayahualulco
igualapa-san jose buenavista,100,igualapa-san jose buenavista
pilcaya-cacahuamilpa,100,pilcaya-cacahuamilpa
chilapa de alvarez-tlamixtlahuacan,100,chilapa de alvarez-tlamixtlahuacan
mochitlan-mochitlan,100,mochitlan-mochitlan
tlacoachistlahuaca-el limon guadalupe,100,tlacoachistlahuaca-el limon guadalupe
zitlala-topiltepec,100,zitlala-topiltepec
tetipac-jocotitlan,100,tetipac-jocotitlan
juan r. escudero-las pinas,100,juan r. escudero-las pinas
pedro ascencio alquisiras-chicahuaca,100,pedro ascencio alquisiras-chicahuaca
teloloapan-santa cruz union,100,teloloapan-santa cruz union
zirandaro-aratichanguio,100,zirandaro-aratichanguio
general heliodoro castillo-el capire (el capire de la palma),100,general heliodoro castillo-el capire (el capire de la palma)
chilapa de alvarez-la mohonera,100,chilapa de alvarez-la mohonera
chilapa de alvarez-san jeronimo palantla,100,chilapa de alvarez-san jeronimo palantla
iguala de la independencia-iguala de la independencia,100,iguala de la independencia-iguala de la independencia
tetipac-huaxtelica,100,tetipac-huaxtelica
general heliodoro castillo-nuevo poblado el caracol,100,general heliodoro castillo-nuevo poblado el caracol
leonardo bravo-iyotla,100,leonardo bravo-iyotla
ometepec-rancho los vazquez,95,ometepec-rancho eloy vazquez
huamuxtitlan-san miguel totolapa,100,huamuxtitlan-san miguel totolapa
quechultenango-naranjitas,100,quechultenango-naranjitas
pedro ascencio alquisiras-cerro de zacahuixtepec,100,pedro ascencio alquisiras-cerro de zacahuixtepec
ayutla de los libres-san jose la hacienda,100,ayutla de los libres-san jose la hacienda
ahuacuotzingo-oxtotitlan,100,ahuacuotzingo-oxtotitlan
ahuacuotzingo-tecolcuautla,100,ahuacuotzingo-tecolcuautla
ahuacuotzingo-vista hermosa tlaquilcingo,100,ahuacuotzingo-vista hermosa tlaquilcingo
ayutla de los libres-rancho el doblete doble proposito,100,ayutla de los libres-rancho el doblete doble proposito
chilapa de alvarez-buena vista de las pilas,100,chilapa de alvarez-buena vista de las pilas
chilapa de alvarez-lamazintla,100,chilapa de alvarez-lamazintla
tlapa de comonfort-santa maria tonaya,100,tlapa de comonfort-santa maria tonaya
xochistlahuaca-cabeza de arroyo caballo (arroyo caballo),100,xochistlahuaca-cabeza de arroyo caballo (arroyo caballo)
buenavista de cuellar-buenavista de cuellar,100,buenavista de cuellar-buenavista de cuellar
quechultenango-cuatomatitlan,100,quechultenango-cuatomatitlan
chilapa de alvarez-tepozonalco,100,chilapa de alvarez-tepozonalco
acapulco de juarez-tres palos,100,acapulco de juarez-tres palos
azoyu-azoyu,100,azoyu-azoyu
cuetzala del progreso-tlacaquipa,100,cuetzala del progreso-tlacaquipa
quechultenango-tlanicuilulco,100,quechultenango-tlanicuilulco
tlapa de comonfort-torrentlan,100,tlapa de comonfort-torrentlan
xochihuehuetlan-san miguel comitlipa,100,xochihuehuetlan-san miguel comitlipa
zihuatanejo de azueta-zihuatanejo,100,zihuatanejo de azueta-zihuatanejo
metlatonoc-san juan puerto montana,100,metlatonoc-san juan puerto montana
atlamajalcingo del monte-zilacayotitlan,100,atlamajalcingo del monte-zilacayotitlan
general canuto a. neri-pata de venado,100,general canuto a. neri-pata de venado
igualapa-igualapa,100,igualapa-igualapa
alpoyeca-ixcateopan,100,alpoyeca-ixcateopan
atenango del rio-tequicuilco,100,atenango del rio-tequicuilco
quechultenango-xochitlan,100,quechultenango-xochitlan
pedro ascencio alquisiras-salitre grande (el salitre),100,pedro ascencio alquisiras-salitre grande (el salitre)
taxco de alarcon-huajojutla (el azul),100,taxco de alarcon-huajojutla (el azul)
tlapa de comonfort-chiepetepec,100,tlapa de comonfort-chiepetepec
ahuacuotzingo-alpuyecancingo de las montanas,100,ahuacuotzingo-alpuyecancingo de las montanas
pedro ascencio alquisiras-azulaquez,100,pedro ascencio alquisiras-azulaquez
coahuayutla de jose maria izazaga-galeana de abajo,100,coahuayutla de jose maria izazaga-galeana de abajo
quechultenango-zoyapezco,100,quechultenango-zoyapezco
general canuto a. neri-el salto,100,general canuto a. neri-el salto
san luis acatlan-cerro limon,100,san luis acatlan-cerro limon
san luis acatlan-pascala del oro,100,san luis acatlan-pascala del oro
chilapa de alvarez-ahuihuiyuco,100,chilapa de alvarez-ahuihuiyuco
iliatenco-iliatenco,100,iliatenco-iliatenco
juchitan-juchitan,100,juchitan-juchitan
la union de isidoro montes de oca-la noria,100,la union de isidoro montes de oca-la noria
chilapa de alvarez-teomatatlan,100,chilapa de alvarez-teomatatlan
huitzuco de los figueroa-tuliman,100,huitzuco de los figueroa-tuliman
ahuacuotzingo-san juan (las joyas),100,ahuacuotzingo-san juan (las joyas)
quechultenango-el aguacate,100,quechultenango-el aguacate
ahuacuotzingo-pochutla,100,ahuacuotzingo-pochutla
ahuacuotzingo-ajuatetla,100,ahuacuotzingo-ajuatetla
ahuacuotzingo-santa catarina (santa catarina las joyas),100,ahuacuotzingo-santa catarina (santa catarina las joyas)
san marcos-caridad,100,san marcos-caridad
copanatoyac-potoichan,100,copanatoyac-potoichan
florencio villarreal-cruz grande,100,florencio villarreal-cruz grande
malinaltepec-malinaltepec,100,malinaltepec-malinaltepec
taxco de alarcon-san juan union,100,taxco de alarcon-san juan union
alpoyeca-alpoyeca,100,alpoyeca-alpoyeca
tlapehuala-nuevo guerrero,100,tlapehuala-nuevo guerrero
coyuca de benitez-coyuca de benitez,100,coyuca de benitez-coyuca de benitez
pedro ascencio alquisiras-teacalco,100,pedro ascencio alquisiras-teacalco
xochihuehuetlan-xocotitla,100,xochihuehuetlan-xocotitla
huitzuco de los figueroa-tlapala,100,huitzuco de los figueroa-tlapala
copanatoyac-plan de san miguel,100,copanatoyac-plan de san miguel
copanatoyac-tenexcalcingo,100,copanatoyac-tenexcalcingo
huitzuco de los figueroa-ciudad de huitzuco,100,huitzuco de los figueroa-ciudad de huitzuco
xochihuehuetlan-zoyatitlanapa,100,xochihuehuetlan-zoyatitlanapa
tlacoapa-tlacotepec,100,tlacoapa-tlacotepec
tepecoacuilco de trujano-palula,100,tepecoacuilco de trujano-palula
general heliodoro castillo-chilpancinguito,100,general heliodoro castillo-chilpancinguito
mochitlan-lagunilla,100,mochitlan-lagunilla
chilapa de alvarez-zacapexco,100,chilapa de alvarez-zacapexco
mochitlan-san roque,100,mochitlan-san roque
acapulco de juarez-ejido nuevo,100,acapulco de juarez-ejido nuevo
